Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
1_Castor_Canada,0.0,2.0,1.3779,1.381,0.0031
1_Castor_Canada,1.0,3.0,1.381,1.381,0.0
1_Castor_Canada,2.0,4.0,1.381,1.381,0.0
1_Castor_Canada,3.0,5.0,1.381,1.381,0.0
1_Castor_Canada,4.0,6.0,1.381,1.381,0.0
1_Castor_Canada,5.0,7.0,1.381,1.381,0.0
1_Castor_Canada,6.0,8.0,1.3819,1.381,0.0009
1_Castor_Canada,7.0,9.0,1.3828,1.381,0.0018
1_Castor_Canada,8.0,10.0,1.3828,1.381,0.0018
1_Castor_Canada,9.0,11.0,1.3819,1.381,0.0009
1_Castor_Canada,10.0,12.0,1.381,1.381,0.0
1_Castor_Canada,11.0,13.0,1.381,1.381,0.0
1_Castor_Canada,12.0,14.0,1.381,1.381,0.0
1_Castor_Canada,13.0,15.0,1.381,1.381,0.0
1_Castor_Canada,14.0,16.0,1.381,1.381,0.0
1_Castor_Canada,15.0,17.0,1.381,1.381,0.0
1_Castor_Canada,16.0,18.0,1.3819,1.381,0.0009
1_Castor_Canada,17.0,19.0,1.3819,1.381,0.0009
1_Castor_Canada,18.0,20.0,1.381,1.381,0.0
1_Castor_Canada,19.0,21.0,1.381,1.381,0.0
1_Castor_Canada,20.0,22.0,1.3874,1.381,0.0064
1_Castor_Canada,21.0,23.0,1.3892,1.381,0.0082
1_Castor_Canada,22.0,24.0,1.381,1.381,0.0
1_Castor_Canada,23.0,25.0,1.3819,1.381,0.0009
1_Castor_Canada,24.0,26.0,1.3819,1.381,0.0009
1_Castor_Canada,25.0,27.0,1.3819,1.381,0.0009
1_Castor_Canada,26.0,28.0,1.381,1.381,0.0
1_Castor_Canada,27.0,29.0,1.381,1.381,0.0
1_Castor_Canada,28.0,30.0,1.3819,1.381,0.0009
2_Castor_Canada,0.0,2.0,1.3626,,
2_Castor_Canada,1.0,3.0,1.3732,,
2_Castor_Canada,2.0,4.0,1.3553,,
2_Castor_Canada,3.0,5.0,1.3401,,
2_Castor_Canada,4.0,6.0,1.3391,,
2_Castor_Canada,5.0,7.0,1.3405,,
2_Castor_Canada,6.0,8.0,1.3419,,
2_Castor_Canada,7.0,9.0,1.3628,,
2_Castor_Canada,8.0,10.0,1.344,,
2_Castor_Canada,9.0,11.0,1.344,,
2_Castor_Canada,10.0,12.0,1.344,,
2_Castor_Canada,11.0,13.0,1.344,,
2_Castor_Canada,12.0,14.0,1.3467,,
2_Castor_Canada,13.0,15.0,1.3449,,
2_Castor_Canada,14.0,16.0,1.343,,
2_Castor_Canada,15.0,17.0,1.3591,,
2_Castor_Canada,16.0,18.0,1.3619,,
2_Castor_Canada,17.0,19.0,1.3619,,
2_Castor_Canada,18.0,20.0,1.3483,,
2_Castor_Canada,19.0,21.0,1.344,,
2_Castor_Canada,20.0,22.0,1.3396,,
2_Castor_Canada,21.0,23.0,1.3405,,
2_Castor_Canada,22.0,24.0,1.3619,,
2_Castor_Canada,23.0,25.0,1.3449,,
2_Castor_Canada,24.0,26.0,1.344,,
2_Castor_Canada,25.0,27.0,1.344,,
2_Castor_Canada,26.0,28.0,1.344,,
2_Castor_Canada,27.0,29.0,1.344,,
2_Castor_Canada,28.0,30.0,1.344,,
3_Castor_Canada,0.0,2.0,1.3308,,
3_Castor_Canada,1.0,3.0,1.3658,,
3_Castor_Canada,2.0,4.0,1.3449,,
3_Castor_Canada,3.0,5.0,1.3449,,
3_Castor_Canada,4.0,6.0,1.3391,,
3_Castor_Canada,5.0,7.0,1.3391,,
3_Castor_Canada,6.0,8.0,1.3391,,
3_Castor_Canada,7.0,9.0,1.3391,,
3_Castor_Canada,8.0,10.0,1.3391,,
3_Castor_Canada,9.0,11.0,1.3391,,
3_Castor_Canada,10.0,12.0,1.3391,,
3_Castor_Canada,11.0,13.0,1.3391,,
3_Castor_Canada,12.0,14.0,1.344,,
3_Castor_Canada,13.0,15.0,1.3628,,
3_Castor_Canada,14.0,16.0,1.3619,,
3_Castor_Canada,15.0,17.0,1.3449,,
3_Castor_Canada,16.0,18.0,1.3401,,
3_Castor_Canada,17.0,19.0,1.3391,,
3_Castor_Canada,18.0,20.0,1.3391,,
3_Castor_Canada,19.0,21.0,1.3391,,
3_Castor_Canada,20.0,22.0,1.3391,,
3_Castor_Canada,21.0,23.0,1.3405,,
3_Castor_Canada,22.0,24.0,1.3391,,
3_Castor_Canada,23.0,25.0,1.3391,,
3_Castor_Canada,24.0,26.0,1.3449,,
3_Castor_Canada,25.0,27.0,1.344,,
3_Castor_Canada,26.0,28.0,1.344,,
3_Castor_Canada,27.0,29.0,1.344,,
3_Castor_Canada,28.0,30.0,1.344,,
4_Castor_Canada,0.0,2.0,0.2196,0.141,0.0786
4_Castor_Canada,1.0,3.0,0.141,0.141,0.0
4_Castor_Canada,2.0,4.0,0.1518,0.141,0.0108
4_Castor_Canada,3.0,5.0,0.141,0.141,0.0
4_Castor_Canada,4.0,6.0,0.141,0.141,0.0
4_Castor_Canada,5.0,7.0,0.1434,0.141,0.0024
4_Castor_Canada,6.0,8.0,0.141,0.141,0.0
4_Castor_Canada,7.0,9.0,0.141,0.141,0.0
4_Castor_Canada,8.0,10.0,0.141,0.141,0.0
4_Castor_Canada,9.0,11.0,0.1416,0.141,0.0006
4_Castor_Canada,10.0,12.0,0.1416,0.141,0.0006
4_Castor_Canada,11.0,13.0,0.1456,0.141,0.0046
4_Castor_Canada,12.0,14.0,0.141,0.141,0.0
4_Castor_Canada,13.0,15.0,0.141,0.141,0.0
4_Castor_Canada,14.0,16.0,0.141,0.141,0.0
4_Castor_Canada,15.0,17.0,0.141,0.141,0.0
4_Castor_Canada,16.0,18.0,0.141,0.141,0.0
4_Castor_Canada,17.0,19.0,0.141,0.141,0.0
4_Castor_Canada,18.0,20.0,0.141,0.141,0.0
4_Castor_Canada,19.0,21.0,0.141,0.141,0.0
4_Castor_Canada,20.0,22.0,0.141,0.141,0.0
4_Castor_Canada,21.0,23.0,0.176,0.141,0.035
4_Castor_Canada,22.0,24.0,0.141,0.141,0.0
4_Castor_Canada,23.0,25.0,0.2806,0.141,0.1396
4_Castor_Canada,24.0,26.0,0.141,0.141,0.0
4_Castor_Canada,25.0,27.0,0.2984,0.141,0.1574
AlpineStabilised,0.0,2.0,0.8198,0.821,0.0012
AlpineStabilised,1.0,3.0,0.8204,0.821,0.0006
AlpineStabilised,2.0,4.0,0.8109,0.821,0.0101
AlpineStabilised,3.0,5.0,0.8152,0.821,0.0058
AlpineStabilised,4.0,6.0,0.82,0.821,0.001
AlpineStabilised,5.0,7.0,0.8157,0.821,0.0053
AlpineStabilised,6.0,8.0,0.8087,0.821,0.0123
AlpineStabilised,7.0,9.0,0.8157,0.821,0.0053
AlpineStabilised,8.0,10.0,0.8139,0.821,0.0071
AlpineStabilised,9.0,11.0,0.8178,0.821,0.0032
AlpineStabilised,10.0,12.0,0.82,0.821,0.001
AlpineStabilised,11.0,13.0,0.821,0.821,0.0
AlpineStabilised,12.0,14.0,0.821,0.821,0.0
AlpineStabilised,13.0,15.0,0.821,0.821,0.0
AlpineStabilised,14.0,16.0,0.821,0.821,0.0
AlpineStabilised,15.0,17.0,0.8206,0.821,0.0004
AlpineStabilised,16.0,18.0,0.8204,0.821,0.0006
AlpineStabilised,17.0,19.0,0.821,0.821,0.0
AlpineStabilised,18.0,20.0,0.8199,0.821,0.0011
AlpineStabilised,19.0,21.0,0.8199,0.821,0.0011
AlpineStabilised,20.0,22.0,0.8119,0.821,0.0091
AlpineStabilised,21.0,23.0,0.8169,0.821,0.0041
AlpineStabilised,22.0,24.0,0.8183,0.821,0.0027
AlpineStabilised,23.0,25.0,0.821,0.821,0.0
AlpineStabilised,24.0,26.0,0.821,0.821,0.0
AlpineStabilised,25.0,27.0,0.8182,0.821,0.0028
AlpineStabilised,26.0,28.0,0.8135,0.821,0.0075
AlpineStabilised,27.0,29.0,0.821,0.821,0.0
AlpineStabilised,28.0,30.0,0.821,0.821,0.0
AlpineStabilised,29.0,31.0,0.821,0.821,0.0
AlpineStabilised,30.0,32.0,0.821,0.821,0.0
AlpineStabilised,31.0,33.0,0.8206,0.821,0.0004
AlpineStabilised,32.0,34.0,0.8187,0.821,0.0023
AlpineStabilised,33.0,35.0,0.8016,0.821,0.0194
AlpineStabilised,34.0,36.0,0.8178,0.821,0.0032
AlpineStabilised,35.0,37.0,0.821,0.821,0.0
AlpineStabilised,36.0,38.0,0.8213,0.821,0.0003
AlpineStabilised,37.0,39.0,0.8034,0.821,0.0176
AlpineStabilised,38.0,40.0,0.821,0.821,0.0
AlpineStabilised,39.0,41.0,0.821,0.821,0.0
AlpineStabilised,40.0,42.0,0.821,0.821,0.0
AlpineStabilised,41.0,43.0,0.821,0.821,0.0
AlpineStabilised,42.0,44.0,0.8194,0.821,0.0016
AlpineStabilised,43.0,45.0,0.8202,0.821,0.0008
AlpineStabilised,44.0,46.0,0.8112,0.821,0.0098
AlpineStabilised,45.0,47.0,0.8204,0.821,0.0006
AlpineStabilised,46.0,48.0,0.821,0.821,0.0
AlpineStabilised,47.0,49.0,0.8198,0.821,0.0012
AlpineStabilised,48.0,50.0,0.821,0.821,0.0
AlpineStabilised,49.0,51.0,0.821,0.821,0.0
AlpineStabilised,50.0,52.0,0.821,0.821,0.0
AlpineStabilised,51.0,53.0,0.821,0.821,0.0
AlpineStabilised,52.0,54.0,0.821,0.821,0.0
AlpineStabilised,53.0,55.0,0.821,0.821,0.0
AlpineStabilised,54.0,56.0,0.821,0.821,0.0
AlpineStabilised,55.0,57.0,0.821,0.821,0.0
AlpineStabilised,56.0,58.0,0.8186,0.821,0.0024
AlpineStabilised,57.0,59.0,0.8188,0.821,0.0022
AlpineStabilised,58.0,60.0,0.8193,0.821,0.0017
AlpineStabilised,59.0,61.0,0.8194,0.821,0.0016
AlpineStabilised,60.0,62.0,0.8194,0.821,0.0016
AlpineStabilised,61.0,63.0,0.7789,0.821,0.0421
AlpineStabilised,62.0,64.0,0.8198,0.821,0.0012
AlpineStabilised,63.0,65.0,0.8162,0.821,0.0048
AlpineStabilised,64.0,66.0,0.8194,0.821,0.0016
AlpineStabilised,65.0,67.0,0.8179,0.821,0.0031
AlpineStabilised,66.0,68.0,0.8085,0.821,0.0125
AlpineStabilised,67.0,69.0,0.8152,0.821,0.0058
AlpineStabilised,68.0,70.0,0.8172,0.821,0.0038
AlpineStabilised,69.0,71.0,0.8053,0.821,0.0157
AlpineStabilised,69.76,71.76,0.778,0.821,0.043
Arrow_GoPro_Seeded_Stabilised,0.0,2.0,0.4188,0.413,0.0058
Arrow_GoPro_Seeded_Stabilised,1.0,3.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,2.0,4.0,0.4132,0.413,0.0002
Arrow_GoPro_Seeded_Stabilised,3.0,5.0,0.4174,0.413,0.0044
Arrow_GoPro_Seeded_Stabilised,4.0,6.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,5.0,7.0,0.4145,0.413,0.0015
Arrow_GoPro_Seeded_Stabilised,6.0,8.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,7.0,9.0,0.4129,0.413,0.0001
Arrow_GoPro_Seeded_Stabilised,8.0,10.0,0.4129,0.413,0.0001
Arrow_GoPro_Seeded_Stabilised,9.0,11.0,0.4165,0.413,0.0035
Arrow_GoPro_Seeded_Stabilised,10.0,12.0,0.4147,0.413,0.0017
Arrow_GoPro_Seeded_Stabilised,11.0,13.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,12.0,14.0,0.4148,0.413,0.0018
Arrow_GoPro_Seeded_Stabilised,13.0,15.0,0.4186,0.413,0.0056
Arrow_GoPro_Seeded_Stabilised,14.0,16.0,0.4135,0.413,0.0005
Arrow_GoPro_Seeded_Stabilised,15.0,17.0,0.4126,0.413,0.0004
Arrow_GoPro_Seeded_Stabilised,16.0,18.0,0.4127,0.413,0.0003
Arrow_GoPro_Seeded_Stabilised,17.0,19.0,0.413,0.413,0.0
Arrow_GoPro_Seeded_Stabilised,17.6,19.6,0.5079,0.413,0.0949
Arrow_GoPro_Unseeded_Stabilised,0.0,2.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,1.0,3.0,0.4244,0.413,0.0114
Arrow_GoPro_Unseeded_Stabilised,2.0,4.0,0.4136,0.413,0.0006
Arrow_GoPro_Unseeded_Stabilised,3.0,5.0,0.4264,0.413,0.0134
Arrow_GoPro_Unseeded_Stabilised,4.0,6.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,5.0,7.0,0.4134,0.413,0.0004
Arrow_GoPro_Unseeded_Stabilised,6.0,8.0,0.4173,0.413,0.0043
Arrow_GoPro_Unseeded_Stabilised,7.0,9.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,8.0,10.0,0.4132,0.413,0.0002
Arrow_GoPro_Unseeded_Stabilised,9.0,11.0,0.4131,0.413,0.0001
Arrow_GoPro_Unseeded_Stabilised,10.0,12.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,11.0,13.0,0.4133,0.413,0.0003
Arrow_GoPro_Unseeded_Stabilised,12.0,14.0,0.4133,0.413,0.0003
Arrow_GoPro_Unseeded_Stabilised,13.0,15.0,0.413,0.413,0.0
Arrow_GoPro_Unseeded_Stabilised,14.0,16.0,0.4136,0.413,0.0006
Arrow_GoPro_Unseeded_Stabilised,15.0,17.0,0.4131,0.413,0.0001
Arrow_GoPro_Unseeded_Stabilised,16.0,18.0,0.4137,0.413,0.0007
Arrow_GoPro_Unseeded_Stabilised,17.0,19.0,0.4139,0.413,0.0009
Arrow_GoPro_Unseeded_Stabilised,17.8,19.8,0.4135,0.413,0.0005
Arrow_Gopro_Seeded_notStabilised,0.0,2.0,0.4139,0.413,0.0009
Arrow_Gopro_Seeded_notStabilised,1.0,3.0,0.4131,0.413,0.0001
Arrow_Gopro_Seeded_notStabilised,2.0,4.0,0.4132,0.413,0.0002
Arrow_Gopro_Seeded_notStabilised,3.0,5.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,4.0,6.0,0.4132,0.413,0.0002
Arrow_Gopro_Seeded_notStabilised,5.0,7.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,6.0,8.0,0.414,0.413,0.001
Arrow_Gopro_Seeded_notStabilised,7.0,9.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,8.0,10.0,0.4136,0.413,0.0006
Arrow_Gopro_Seeded_notStabilised,9.0,11.0,0.423,0.413,0.01
Arrow_Gopro_Seeded_notStabilised,10.0,12.0,0.4152,0.413,0.0022
Arrow_Gopro_Seeded_notStabilised,11.0,13.0,0.4138,0.413,0.0008
Arrow_Gopro_Seeded_notStabilised,12.0,14.0,0.4235,0.413,0.0105
Arrow_Gopro_Seeded_notStabilised,13.0,15.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,14.0,16.0,0.4127,0.413,0.0003
Arrow_Gopro_Seeded_notStabilised,15.0,17.0,0.4135,0.413,0.0005
Arrow_Gopro_Seeded_notStabilised,16.0,18.0,0.4138,0.413,0.0008
Arrow_Gopro_Seeded_notStabilised,17.0,19.0,0.413,0.413,0.0
Arrow_Gopro_Seeded_notStabilised,17.8,19.8,0.4134,0.413,0.0004
Arrow_Gopro_UnSeeded_notStabilised,0.0,2.0,0.4305,0.413,0.0175
Arrow_Gopro_UnSeeded_notStabilised,1.0,3.0,0.4137,0.413,0.0007
Arrow_Gopro_UnSeeded_notStabilised,2.0,4.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,3.0,5.0,0.4132,0.413,0.0002
Arrow_Gopro_UnSeeded_notStabilised,4.0,6.0,0.4137,0.413,0.0007
Arrow_Gopro_UnSeeded_notStabilised,5.0,7.0,0.4136,0.413,0.0006
Arrow_Gopro_UnSeeded_notStabilised,6.0,8.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,7.0,9.0,0.4134,0.413,0.0004
Arrow_Gopro_UnSeeded_notStabilised,8.0,10.0,0.4174,0.413,0.0044
Arrow_Gopro_UnSeeded_notStabilised,9.0,11.0,0.4131,0.413,0.0001
Arrow_Gopro_UnSeeded_notStabilised,10.0,12.0,0.4129,0.413,0.0001
Arrow_Gopro_UnSeeded_notStabilised,11.0,13.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,12.0,14.0,0.4132,0.413,0.0002
Arrow_Gopro_UnSeeded_notStabilised,13.0,15.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,14.0,16.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,15.0,17.0,0.4131,0.413,0.0001
Arrow_Gopro_UnSeeded_notStabilised,16.0,18.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,17.0,19.0,0.413,0.413,0.0
Arrow_Gopro_UnSeeded_notStabilised,17.8,19.8,0.4131,0.413,0.0001
Arrow_UAS_Seeded_Stabilised,0.0,2.0,0.5612,0.561,0.0002
Arrow_UAS_Seeded_Stabilised,1.0,3.0,0.5683,0.561,0.0073
Arrow_UAS_Seeded_Stabilised,2.0,4.0,0.5593,0.561,0.0017
Arrow_UAS_Seeded_Stabilised,3.0,5.0,0.5595,0.561,0.0015
Arrow_UAS_Seeded_Stabilised,4.0,6.0,0.5573,0.561,0.0037
Arrow_UAS_Seeded_Stabilised,5.0,7.0,0.5599,0.561,0.0011
Arrow_UAS_Seeded_Stabilised,6.0,8.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,7.0,9.0,0.5605,0.561,0.0005
Arrow_UAS_Seeded_Stabilised,8.0,10.0,0.5608,0.561,0.0002
Arrow_UAS_Seeded_Stabilised,9.0,11.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,10.0,12.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,11.0,13.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,12.0,14.0,0.5611,0.561,0.0001
Arrow_UAS_Seeded_Stabilised,13.0,15.0,0.5607,0.561,0.0003
Arrow_UAS_Seeded_Stabilised,14.0,16.0,0.5606,0.561,0.0004
Arrow_UAS_Seeded_Stabilised,15.0,17.0,0.5606,0.561,0.0004
Arrow_UAS_Seeded_Stabilised,16.0,18.0,0.561,0.561,0.0
Arrow_UAS_Seeded_Stabilised,17.0,19.0,0.5611,0.561,0.0001
Arrow_UAS_Seeded_Stabilised,17.8,19.8,0.5609,0.561,0.0001
Arrow_UAS_Seeded_notStabilised,0.0,2.0,0.5699,0.561,0.0089
